0	68.8	82.3
2	64.8	78.5
4	62.1	74.3
6	59.9	70.7
8	57.7	67.6
10	55.9	65.0
12	53.9	62.5
14	52.3	60.1
16	50.8	58.1
18	49.5	56.1
20	48.1	53.3
22	46.8	52.8
24	45.9	51.2
26	44.8	49.9
28	43.7	48.6
30	42.6	47.2
32	41.7	46.1
34	40.8	45.0
36	39.9	43.9
38	39.3	43.0
40	38.6	41.9
42	37.7	41.0
44	37.0	40.1
46	36.4    39.5
